CitanceNumber,PreTwo,PreOne,CitationSentence,PostOne,PostTwo,PreOne And Citation,Citation And PostOne,CitingArticle,ReferenceArticle,LengthOfDocumentVector
103,-0.31099999999999994,-2.032,-2.94,-2.654,-0.9549999999999998,-3.6879999999999997,-4.010000000000001,P12-2002.xml,C10-1045.xml,2402
104,-2.052,-2.4689999999999994,-1.7240000000000002,-3.0600000000000005,-3.0969999999999995,-3.150999999999999,-3.285,W13-4904.xml,C10-1045.xml,2402
105,-2.4530000000000007,-2.262,-2.653,-1.1879999999999997,-1.689,-3.2540000000000004,-2.8459999999999996,W13-4904.xml,C10-1045.xml,2402
106,-2.181,-2.944,-3.2279999999999998,-1.3159999999999998,-0.688,-4.3820000000000014,-3.3739999999999997,W13-4904.xml,C10-1045.xml,2402
107,-1.7060000000000004,-2.5820000000000003,-2.843,-1.8969999999999994,-1.733,-3.8599999999999994,-3.697000000000001,W13-4917.xml,C10-1045.xml,2402
108,-4.026000000000001,-1.8969999999999994,-1.733,-3.520999999999999,-2.413,-2.982,-3.981,W13-4917.xml,C10-1045.xml,2402
109,-2.091,-2.5930000000000004,-3.015999999999999,-1.4849999999999999,-2.3869999999999996,-3.6419999999999995,-3.1350000000000007,W13-4917.xml,C10-1045.xml,2402
110,-1.513,-1.7270000000000003,-1.4999999999999996,-2.2890000000000006,-2.0149999999999997,-2.4400000000000004,-2.8859999999999997,P99-1061.xml,C90-2039.xml,2762
111,-3.6400000000000006,-2.046,-2.0249999999999995,-2.15,-2.7110000000000003,-3.0679999999999987,-3.2,C90-3046.xml,C90-2039.xml,2762
112,-1.375,-1.217,-2.845,-2.8310000000000004,-1.823,-3.1880000000000006,-3.7279999999999998,C02-1033.xml,C98-1097.xml,2897
113,-1.5389999999999997,-1.5490000000000004,-2.672,-1.206,-3.077,-3.165,-3.0260000000000007,C02-1033.xml,C98-1097.xml,2897
114,-2.684,-1.7409999999999997,-3.4810000000000008,-1.5750000000000002,-1.5339999999999998,-3.986999999999999,-3.945999999999999,P07-1061.xml,C98-1097.xml,2897
115,-1.561,-2.032,-1.823,-0.9319999999999999,-2.0349999999999993,-2.7609999999999997,-2.291,P07-1061.xml,C98-1097.xml,2897
116,-2.0119999999999996,-1.705,-1.722,-1.702,-3.058,-2.44,-2.3409999999999997,P07-1061.xml,C98-1097.xml,2897
117,-2.196,-1.665,-3.9479999999999995,-1.939,-3.276,-4.2330000000000005,-4.212000000000001,P07-1061.xml,C98-1097.xml,2897
118,-2.682,-2.5580000000000007,-2.8920000000000003,-1.3569999999999998,-2.021,-4.044,-3.195999999999999,P07-1061.xml,C98-1097.xml,2897
119,-2.3120000000000003,-2.1839999999999997,-1.8439999999999999,1,1,-2.8020000000000005,-1.8439999999999999,P07-1061.xml,C98-1097.xml,2897
120,-1.843,-2.823,-2.3469999999999995,-1.6519999999999997,-1.3840000000000003,-3.3100000000000005,-2.69,P06128.xml,C98-1097.xml,2897
121,-2.6839999999999997,-2.72,-2.9660000000000006,-2.5469999999999997,-3.0789999999999997,-3.8950000000000005,-3.9509999999999996,S0885.xml,C98-1097.xml,2897
122,-0.931,-1.751,-3.3389999999999995,-1.5460000000000003,-2.261,-3.702,-3.8869999999999996,D09-1086.xml,D09-1023.xml,3295
123,-2.343,-2.195,-2.98,-2.2750000000000004,-2.5349999999999997,-3.8889999999999993,-3.939,D11-1044.xml,D09-1023.xml,3295
124,-3.092999999999999,-1.517,-2.474,-1.362,-2.258,-3.0100000000000007,-3.0700000000000003,D11-1044.xml,D09-1023.xml,3295
125,-2.04,-2.1129999999999995,-3.5570000000000004,-1.8859999999999997,-2.039,-3.9810000000000016,-3.8420000000000005,D11-1044.xml,D09-1023.xml,3295
126,-1.3860000000000001,-0.399,-3.771,-3.470999999999999,-2.511,-3.8470000000000004,-4.939000000000001,D11-1044.xml,D09-1023.xml,3295
127,-2.4289999999999994,-2.48,-4.782,-3.05,-3.405000000000001,-4.411999999999999,-4.348000000000001,Pjournal.xml,D09-1023.xml,3295
128,-3.3659999999999997,-2.328,-3.194000000000001,-0.935,-1.855,-4.111999999999999,-3.261,Pjournal.xml,D09-1023.xml,3295
129,-2.3079999999999994,-1.157,-2.456,-1.4219999999999997,-2.0250000000000004,-2.942,-2.623999999999999,Pproc_d09.xml,D09-1023.xml,3295
130,-1.7089999999999996,-3.1820000000000004,-3.016,-1.3979999999999997,-2.604,-4.459,-3.5509999999999984,W10-1730-parscit.xml,D09-1023.xml,3295
131,-2.2230000000000003,-3.365,-2.8679999999999994,-4.213000000000001,-2.3180000000000005,-4.435999999999998,-4.914999999999998,W11-2139.xml,D09-1023.xml,3295
132,-2.442,-2.8800000000000003,-3.8260000000000005,-2.835,-2.4129999999999994,-4.717,-4.121,N10-1040.xml,D09-1023.xml,3295
133,-1.9100000000000001,-2.3219999999999996,-3.0810000000000004,-2.6310000000000002,-2.1929999999999996,-4.082,-3.7609999999999992,C16-1060.xml,D10-1058.xml,3451
134,-2.0949999999999998,-1.2109999999999999,-2.4659999999999997,-2.0909999999999997,-2.178,-2.8609999999999998,-3.425,P13-2002.xml,D10-1058.xml,3451
135,-1.3730000000000002,-1.879,-2.7039999999999993,-1.7309999999999999,-1.4099999999999997,-3.4059999999999997,-3.115,P13-2002.xml,D10-1058.xml,3451
136,-2.344,-1.1900000000000004,-1.9070000000000005,-1.198,-1.7580000000000005,-2.4530000000000003,-2.4979999999999998,P13-2002.xml,D10-1058.xml,3451
137,-1.4820000000000002,-1.803,-3.0439999999999996,-1.371,-2.8200000000000003,-3.192,-3.262999999999999,P13-2002.xml,D10-1058.xml,3451
138,-2.3749999999999996,-1.3609999999999998,-2.3709999999999996,-1.9179999999999997,-1.7570000000000001,-2.9829999999999997,-2.8749999999999996,P13-2002.xml,D10-1058.xml,3451
139,-1.3860000000000001,-2.460000000000001,-2.6039999999999996,-2.6280000000000006,-2.3569999999999998,-3.2490000000000006,-3.7729999999999997,P59105ca.xml,D10-1058.xml,3451
140,-1.129,-2.0119999999999996,-1.8650000000000002,-2.045,-2.2669999999999995,-2.915,-3.119999999999999,Pcoling_D10.xml,D10-1058.xml,3451
141,-2.0949999999999998,-1.2109999999999999,-2.4639999999999995,-2.0909999999999997,-2.0360000000000005,-2.8569999999999998,-3.5260000000000007,Pproc_D10.xml,D10-1058.xml,3451
142,-2.344,-1.1900000000000004,-2.0599999999999996,-2.0349999999999997,-1.7309999999999999,-2.5690000000000004,-2.9000000000000004,Pproc_D10.xml,D10-1058.xml,3451
143,-1.1900000000000004,-1.8970000000000002,-2.0349999999999997,-1.7309999999999999,-1.907,-2.771000000000001,-2.8200000000000003,Pproc_D10.xml,D10-1058.xml,3451
144,-1.665,-1.803,-2.9209999999999994,-1.371,-2.831,-3.082,-3.145999999999999,Pproc_D10.xml,D10-1058.xml,3451
145,-2.368,-1.3519999999999999,-2.3709999999999996,-1.7540000000000004,-1.584,-2.980000000000001,-2.7479999999999998,Pproc_D10.xml,D10-1058.xml,3451
146,-3.243999999999999,-1.412,-3.4240000000000004,-1.8739999999999997,-0.651,-3.362000000000001,-3.926,Q13-1024.xml,D10-1058.xml,3451
